t,S,I,R
130.65326633165827,59.51947975152013,0.33014078112217743,940.1503794673563
131.65829145728642,59.51379342335848,0.3039798338145738,940.1822267428256
132.66331658291455,59.50855817471368,0.2798914662492394,940.2115503590358
133.6683417085427,59.503738195389516,0.25771155021229547,940.2385502543968
134.67336683417085,59.499300522201025,0.23728894402074865,940.2634105337769
135.67839195979897,59.49521481208669,0.21848446685516157,940.2863007210568
136.68341708542712,59.491453133243986,0.2011699534133515,940.3073769133414
137.68844221105527,59.48798977302963,0.18522738315736562,940.3267828438117
138.6934673366834,59.48480106146179,0.1705480789568298,940.34465085958
139.69849246231155,59.48186520836534,0.15703196742417033,940.3611028242092
140.7035175879397,59.479162153962164,0.14458689894619095,940.3762509470903
141.70854271356782,59.47667343122244,0.13312802100845234,940.3901985477677
142.71356783919597,59.47438203896098,0.12257719984506604,940.4030407611925
143.7185929648241,59.472272325678965,0.11286249036150314,940.4148651839581
144.72361809045225,59.47032988195113,0.10391764503836663,940.4257524730092
145.7286432160804,59.46854144197808,0.09568166400319766,940.4357768940174
146.73366834170852,59.466894792589926,0.08809837908325371,940.4450068283255
147.73869346733667,59.46537868966994,0.08111607148878512,940.45350523884
148.7437185929648,59.4639827811919,0.07468711952932354,940.4613300992775
149.74874371859295,59.46269753634344,0.06876767406706488,940.4685347895881
150.7537688442211,59.46151418039693,0.06331736008653309,940.4751684595153
151.75879396984922,59.460424634596684,0.058299001191319644,940.4812763642108
152.76381909547737,59.459421461011864,0.05367836669228325,940.4869001722946
153.76884422110552,59.4584978116931,0.049423938386563934,940.492078249919
154.77386934673365,59.45764738175303,0.04550669526523371,940.4968459229805
155.7788944723618,59.4568643657796,0.04189991353532874,940.5012357206838
156.78391959798995,59.45614341958924,0.03857899074674303,940.5052775896627
157.78894472361807,59.45547962220577,0.03552127142865796,940.5089991063643
158.79396984924622,59.45486844315484,0.03270589669733724,940.5124256601465
159.79899497487435,59.45430571113636,0.03011366035419794,940.5155806285081
160.8040201005025,59.45378758532188,0.027726877000924535,940.5184855376758
161.80904522613065,59.45331052987047,0.02552926479387976,940.5211602053342
162.81407035175877,59.452871288803685,0.0235058300419289,940.523622881153
163.81909547738692,59.4524668646399,0.02164276887255761,940.5258903664861
164.82412060301505,59.45209449741746,0.01992737080418725,940.5279781317769
165.8291457286432,59.451751645944356,0.01834793248972219,940.5299004215644
166.83417085427135,59.4514359706382,0.016893678752527487,940.5316703506078
167.83919597989947,59.45114531711033,0.015554687097311093,940.533299995791
168.84422110552762,59.450877702060545,0.01432182276728771,940.5348004751708
169.84924623115577,59.45063129923644,0.01318667416115542,940.5361820266011
170.8542713567839,59.45040442721689,0.012141496594687435,940.537454076187
171.85929648241205,59.4501955379145,0.011179159381762184,940.5386253027024
172.8643216080402,59.45000320582796,0.01029309637328797,940.5397036977974
173.86934673366832,59.449826118629645,0.009477262613148399,940.5406966187559
174.87437185929647,59.449663067857,0.008726091499883765,940.5416108406419
175.8793969849246,59.44951294094184,0.008034458079919623,940.542452600977
176.88442211055275,59.44937471349561,0.007397643531930514,940.5432276429711
177.8894472361809,59.449247442281845,0.006811302810190126,940.5439412549067
178.89447236180902,59.449130258918345,0.0062714356404827455,940.5445983054399
179.89949748743717,59.44902236374737,0.005774358299711328,940.5452032779516
180.9045226130653,59.44892302059001,0.005316679454484364,940.5457602999542
181.90954773869345,59.448831551574756,0.00489527634871858,940.5462731720752
182.9145728643216,59.448747332561545,0.00450727372916018,940.5467453937079
183.91959798994972,59.448669788921315,0.004150024406978147,940.5471801866703
184.92462311557787,59.448598391513094,0.0038210907320088898,940.5475805177535
185.92964824120602,59.44853265320097,0.0035182285483416572,940.5479491182493
186.93467336683415,59.448472125410326,0.003239371334888326,940.5482885032534
187.9396984924623,59.44841639514534,0.002982616466981429,940.5486009883863
188.94472361809045,59.44836508215448,0.0027462121607898645,940.5488887056833
189.94974874371857,59.44831783629718,0.0025285453440079633,940.5491536183574
190.95477386934672,59.44827433522586,0.0023281309783837524,940.5493975337944
191.95979899497485,59.44823428210632,0.002143601559563391,940.5496221163327
192.964824120603,59.44819740368642,0.0019736982201836923,940.549828898092
193.96984924623115,59.44816344832833,0.0018172616662185833,940.550019290004
194.97487437185927,59.44813218425428,0.0016732240965365132,940.5501945916478
195.97989949748742,59.44810339819515,0.0015406029754848184,940.550355998828
196.98492462311555,59.44807689374794,0.0014184934682679147,940.5505046127824
197.9899497487437,59.448052490056966,0.0013060623657124184,940.550641447576
198.99497487437185,59.44803002057595,0.0012025423802638812,940.5507674370425
200.0,59.448009332049566,0.001107227455401334,940.5508834404937
